# r, rho, v, e
7.6301686264993914E+03 4.7213139859884990E+15 -1.0585985206600648E+05 9.9742217663830795E+31
7.6478602852670883E+03 4.6835292338249790E+15 -1.0632889969819786E+05 9.8679321715407963E+31
7.6655519440347562E+03 4.6461465970606780E+15 -1.0679842891838914E+05 9.7630546447905016E+31
7.6832436028024531E+03 4.6091607406212540E+15 -1.0726843749773319E+05 9.6595667344669396E+31
7.7009352615701209E+03 4.5725664141475130E+15 -1.0773892322049726E+05 9.5574464042782758E+31
7.7186269203377888E+03 4.5363584504298350E+15 -1.0820988388397731E+05 9.4566720245457580E+31
7.7363185791054857E+03 4.5005317638760725E+15 -1.0868131729840653E+05 9.3572223636520758E+31
7.7540102378731535E+03 4.4650813490115955E+15 -1.0915322128686636E+05 9.2590765796914240E+31
7.7717018966408505E+03 4.4300022790103165E+15 -1.0962559368520208E+05 9.1622142123148924E+31
7.7893935554085183E+03 4.3952897042571385E+15 -1.1009843234193021E+05 9.0666151747692869E+31
7.8070852141761861E+03 4.3609388509395320E+15 -1.1057173511815863E+05 8.9722597461200797E+31
7.8247768729438831E+03 4.3269450196690200E+15 -1.1104549988749645E+05 8.8791285636577527E+31
7.8424685317115509E+03 4.2933035841311770E+15 -1.1151972453596842E+05 8.7872026154807962E+31
7.8601601904792478E+03 4.2600099897630570E+15 -1.1199440696193337E+05 8.6964632332497413E+31
7.8778518492469157E+03 4.2270597524585760E+15 -1.1246954507599756E+05 8.6068920851109381E+31
7.8955435080145835E+03 4.1944484572999560E+15 -1.1294513680093251E+05 8.5184711687823347E+31
7.9132351667822804E+03 4.1621717573155085E+15 -1.1342118007159285E+05 8.4311828047995129E+31
7.9309268255499483E+03 4.1302253722629300E+15 -1.1389767283483180E+05 8.3450096299172703E+31
7.9486184843176452E+03 4.0986050874370040E+15 -1.1437461304942267E+05 8.2599345906613966E+31
7.9663101430853130E+03 4.0673067525021755E+15 -1.1485199868597422E+05 8.1759409370295630E+31
7.9840018018529809E+03 4.0363262803482095E+15 -1.1532982772685439E+05 8.0930122163342971E+31
8.0016934606206778E+03 4.0056596459695195E+15 -1.1580809816610812E+05 8.0111322671874091E+31
8.0193851193883456E+03 3.9753028853670780E+15 -1.1628680800937657E+05 7.9302852136208268E+31
8.0370767781560426E+03 3.9452520944720465E+15 -1.1676595527382298E+05 7.8504554593394880E+31
8.0547684369237104E+03 3.9155034280917085E+15 -1.1724553798804995E+05 7.7716276821058362E+31
8.0724600956913782E+03 3.8860530988759315E+15 -1.1772555419202431E+05 7.6937868282492211E+31
8.0901517544590752E+03 3.8568973763046020E+15 -1.1820600193700200E+05 7.6169181072995274E+31
8.1078434132267430E+03 3.8280325856954955E+15 -1.1868687928544582E+05 7.5410069867417190E+31
